"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"PRELID1P1",0.594760951881967,-1.18902843547417,1.00485861132367,-1.18327934106859,0.236698457536149,NA,"PRELID1P1"
"RPS4XP9",1.39978502900817,-1.49525599801763,1.14791369679575,-1.30258572764785,0.1927162329746,NA,"RPS4XP9"
"RSPO3",21.3575377896724,0.473629556351125,0.47681685590626,0.993315463755834,0.320556243922323,0.999975617694874,"RSPO3"
"RNF146",264.713225829677,-0.175392453186267,0.227312337549446,-0.771592316884759,0.440355926221051,0.999975617694874,"RNF146"
"ECHDC1",380.626859880379,-0.273053356146903,0.399947943990831,-0.682722239855202,0.494782373761981,0.999975617694874,"ECHDC1"
"RNA5SP217",9.13761649236615,-0.16870116136569,0.427252977396233,-0.394850756555961,0.692953033717724,0.999975617694874,"RNA5SP217"
"YWHAZP4",2.97119262747017,1.07584360823656,0.589468458535601,1.8251080149551,0.0679847309342564,0.999975617694874,"YWHAZP4"
"RPL5P18",5.55731476303311,0.897962464187137,0.493413233820962,1.81989943243591,0.0687743213805373,0.999975617694874,"RPL5P18"
"ENSG00000220522",0.209667202615447,1.25942973377551,1.6769366524568,0.751029999809702,0.452634601413484,NA,"ENSG00000220522"
"ENSG00000220694",1.10143826268297,0.165438261999299,0.880629236244929,0.187863694719858,0.850983503376319,NA,"ENSG00000220694"
"ENSG00000255330",4.1911867478508,0.90244455911799,0.856402582969155,1.05376207062478,0.291991862869055,0.999975617694874,"ENSG00000255330"
"KIAA0408",7.28558505289497,1.10567221896738,0.800393321572286,1.38141110022683,0.167152594803348,0.999975617694874,"KIAA0408"
"SOGA3",1.06532026669879,-2.33021396962405,1.19883373865463,-1.94373405960287,0.0519275291289216,NA,"SOGA3"
"C6orf58",1.11833764145664,-0.22160493374694,0.813097475202972,-0.272544117409319,0.785203673844004,NA,"C6orf58"
"ENSG00000219284",0.402222411193931,-0.797445731124009,1.25781775936712,-0.633991470692266,0.526086388474305,NA,"ENSG00000219284"
"ENSG00000218187",0.38513124231056,-0.206628741919864,1.12693149658925,-0.183355192880174,0.85451933069647,NA,"ENSG00000218187"
"ENSG00000260212",0.244607168818224,0.0819094427169379,1.34668361760869,0.0608230780013384,0.951500110757714,NA,"ENSG00000260212"
"ENSG00000219699",0.314401158826317,0.59028745079405,1.09129617912562,0.540904900140865,0.58857313324576,NA,"ENSG00000219699"
"LINC02536",0.140143706533871,-0.289069743092061,2.51892569409687,-0.114759138695317,0.908636037608155,NA,"LINC02536"
"THEMIS",83.830173746099,-0.22484007682619,0.534387963865702,-0.420743152970217,0.673942646382398,0.999975617694874,"THEMIS"
"ENSG00000274493",0,NA,NA,NA,NA,NA,"ENSG00000274493"
"PTPRK",991.134758071902,-0.0781841368515738,0.190223312007935,-0.411012383426026,0.681063454426092,0.999975617694874,"PTPRK"
"ENSG00000227945",0.769256304068799,0.231463001540963,0.59453264047959,0.389319249745901,0.697039998147295,NA,"ENSG00000227945"
"ENSG00000224733",0.0877214137999974,0.178081568438728,3.33320894409395,0.0534264642347932,0.957392119909431,NA,"ENSG00000224733"
"EEF1DP5",0.296824602643638,0.397927693423944,1.39966130295692,0.284302847112573,0.77617830445165,NA,"EEF1DP5"
"ENSG00000206982",0,NA,NA,NA,NA,NA,"ENSG00000206982"
